[15:33:22.185] [INFO   ] thread main starting.
[15:33:22.199] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:33:22.202] [SEVERE ] configuration file was loaded from resources directory.
[15:33:23.208] [INFO   ] thread dealer starting.
[15:33:23.209] [INFO   ] thread dealer starting.
[15:33:23.209] [INFO   ] thread Thread-0 starting.
[15:33:23.212] [INFO   ] creat AI step 1 
[15:33:23.212] [INFO   ] thread computer-0 starting.
[15:33:23.213] [INFO   ] creat AI step 2 
[15:33:23.213] [INFO   ] creat AI step 3 
[15:33:23.213] [INFO   ] thread Thread-0wip1
[15:33:23.213] [INFO   ] thread Thread-1 starting.
[15:33:23.213] [INFO   ] creat AI step 7 
[15:33:23.215] [INFO   ] thread Thread-0wip2
[15:33:23.216] [INFO   ] creat AI step 1 
[15:33:23.216] [INFO   ] AI key pressed step 1 
[15:33:23.216] [INFO   ] thread computer-1 starting.
[15:33:23.216] [INFO   ] thread Thread-0wip3
[15:33:23.217] [INFO   ] AI key pressed step 2 
[15:33:23.217] [INFO   ] creat AI step 2 
[15:33:23.218] [INFO   ] KP step 1computer-0
[15:33:23.217] [INFO   ] thread Thread-0wip4
[15:33:23.218] [INFO   ] KP step 10computer-0
[15:33:23.218] [SEVERE ] updating countdown to 60000
[15:33:23.218] [INFO   ] thread Thread-1wip1
[15:33:23.218] [INFO   ] creat AI step 3 
[15:33:23.221] [INFO   ] thread Thread-1wip2
[15:33:23.220] [INFO   ] AI key pressed step 3, random slot: 11
[15:33:23.221] [INFO   ] thread Thread-1wip3
[15:33:23.222] [INFO   ] creat AI step 8 
[15:33:23.222] [INFO   ] thread Thread-1wip4
[15:33:23.222] [INFO   ] creat AI step 9 
[15:33:23.223] [INFO   ] creat AI step 7 
[15:33:23.224] [INFO   ] thread Thread-0wip5
[15:33:23.224] [INFO   ] AI key pressed step 1 
[15:33:23.224] [INFO   ] thread Thread-0 after  synchronize on dealer.
[15:33:23.225] [INFO   ] AI key pressed step 2 
[15:33:23.225] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[15:33:23.225] [INFO   ] KP step 1computer-1
[15:33:23.226] [INFO   ] KP step 10computer-1
[15:33:23.226] [INFO   ] creat AI step 10 
[15:33:23.226] [INFO   ] creat AI step 11 
[15:33:23.226] [INFO   ] AI key pressed step 3, random slot: 8
[15:33:23.227] [INFO   ] creat AI step 3 
[15:33:23.227] [INFO   ] creat AI step 7 
[15:33:23.227] [INFO   ] creat AI step 8 
[15:33:23.227] [INFO   ] AI key pressed step 1 
[15:33:23.228] [INFO   ] creat AI step 9 
[15:33:23.228] [INFO   ] AI key pressed step 2 
[15:33:23.228] [INFO   ] thread Thread-1wip5
[15:33:23.228] [INFO   ] KP step 1computer-0
[15:33:23.229] [INFO   ] KP step 10computer-0
[15:33:23.229] [INFO   ] AI key pressed step 3, random slot: 5
[15:33:23.230] [INFO   ] creat AI step 8 
[15:33:23.230] [INFO   ] creat AI step 9 
[15:33:23.230] [INFO   ] creat AI step 10 
[15:33:23.230] [INFO   ] creat AI step 11 
[15:33:23.231] [INFO   ] creat AI step 3 
[15:33:23.231] [INFO   ] creat AI step 7 
[15:33:23.231] [INFO   ] AI key pressed step 1 
[15:33:23.232] [INFO   ] AI key pressed step 2 
[15:33:23.232] [INFO   ] KP step 1computer-0
[15:33:23.232] [INFO   ] KP step 10computer-0
[15:33:23.232] [INFO   ] AI key pressed step 3, random slot: 4
[15:33:23.233] [INFO   ] creat AI step 8 
[15:33:23.233] [INFO   ] creat AI step 9 
[15:33:23.233] [INFO   ] creat AI step 10 
[15:33:23.233] [INFO   ] creat AI step 11 
[15:33:23.234] [INFO   ] creat AI step 3 
[15:33:23.234] [INFO   ] creat AI step 7 
[15:33:23.229] [INFO   ] thread Thread-1 after  synchronize on dealer.
[15:33:23.234] [INFO   ] AI key pressed step 1 
[15:33:23.235] [INFO   ] AI key pressed step 2 
[15:33:23.235] [INFO   ] KP step 1computer-0
[15:33:23.235] [INFO   ] KP step 10computer-0
[15:33:23.236] [INFO   ] AI key pressed step 3, random slot: 5
[15:33:23.236] [INFO   ] creat AI step 8 
[15:33:23.236] [INFO   ] creat AI step 9 
[15:33:23.236] [INFO   ] creat AI step 10 
[15:33:23.235] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[15:33:23.236] [INFO   ] creat AI step 11 
[15:33:23.237] [INFO   ] creat AI step 10 
[15:33:23.237] [INFO   ] creat AI step 3 
[15:33:23.237] [INFO   ] creat AI step 11 
[15:33:23.238] [INFO   ] creat AI step 7 
[15:33:23.238] [INFO   ] creat AI step 3 
[15:33:23.238] [INFO   ] AI key pressed step 1 
[15:33:23.238] [INFO   ] creat AI step 7 
[15:33:23.238] [INFO   ] AI key pressed step 2 
[15:33:23.240] [INFO   ] AI key pressed step 1 
[15:33:23.240] [INFO   ] KP step 1computer-0
[15:33:23.241] [INFO   ] AI key pressed step 2 
[15:33:23.242] [INFO   ] KP step 1computer-1
[15:33:23.241] [INFO   ] KP step 10computer-0
[15:33:23.242] [INFO   ] KP step 10computer-1
[15:33:23.242] [INFO   ] AI key pressed step 3, random slot: 11
[15:33:23.242] [INFO   ] AI key pressed step 3, random slot: 8
[15:33:23.243] [INFO   ] creat AI step 8 
[15:33:23.243] [INFO   ] creat AI step 8 
[15:33:23.243] [INFO   ] creat AI step 9 
[15:33:23.244] [INFO   ] creat AI step 9 
[15:33:23.244] [INFO   ] creat AI step 10 
[15:33:23.244] [INFO   ] creat AI step 10 
[15:33:23.245] [INFO   ] creat AI step 11 
[15:33:23.245] [INFO   ] creat AI step 3 
[15:33:23.246] [INFO   ] creat AI step 7 
[15:33:23.246] [INFO   ] AI key pressed step 1 
[15:33:23.246] [INFO   ] AI key pressed step 2 
[15:33:23.246] [INFO   ] KP step 1computer-0
[15:33:23.246] [INFO   ] KP step 10computer-0
[15:33:23.247] [INFO   ] AI key pressed step 3, random slot: 0
[15:33:23.247] [INFO   ] creat AI step 8 
[15:33:23.247] [INFO   ] creat AI step 9 
[15:33:23.245] [INFO   ] creat AI step 11 
[15:33:23.247] [INFO   ] creat AI step 10 
[15:33:23.248] [INFO   ] creat AI step 11 
[15:33:23.248] [INFO   ] creat AI step 3 
[15:33:23.248] [INFO   ] creat AI step 7 
[15:33:23.248] [INFO   ] AI key pressed step 1 
[15:33:23.248] [INFO   ] AI key pressed step 2 
[15:33:23.249] [INFO   ] KP step 1computer-0
[15:33:23.247] [INFO   ] creat AI step 3 
[15:33:23.249] [INFO   ] KP step 10computer-0
[15:33:23.249] [INFO   ] creat AI step 7 
[15:33:23.249] [INFO   ] AI key pressed step 3, random slot: 1
[15:33:23.250] [INFO   ] creat AI step 8 
[15:33:23.250] [INFO   ] creat AI step 9 
[15:33:23.253] [INFO   ] creat AI step 10 
[15:33:23.254] [INFO   ] creat AI step 11 
[15:33:23.254] [INFO   ] creat AI step 3 
[15:33:23.254] [INFO   ] creat AI step 7 
[15:33:23.254] [INFO   ] AI key pressed step 1 
[15:33:23.255] [INFO   ] AI key pressed step 2 
[15:33:23.250] [INFO   ] AI key pressed step 1 
[15:33:23.255] [INFO   ] KP step 1computer-0
[15:33:23.256] [INFO   ] KP step 10computer-0
