[16:20:09.287] [INFO   ] thread main starting.
[16:20:09.299] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:20:09.302] [SEVERE ] configuration file was loaded from resources directory.
[16:20:10.104] [INFO   ] thread dealer starting.
[16:20:10.104] [INFO   ] thread dealer starting.
[16:20:10.106] [INFO   ] thread Thread-0 starting.
[16:20:10.106] [INFO   ] thread Thread-1 starting.
[16:20:10.106] [SEVERE ] updating countdown to 20000
[16:20:10.231] [SEVERE ] placing card 42 in slot 0
[16:20:10.333] [SEVERE ] placing card 78 in slot 1
[16:20:10.448] [SEVERE ] placing card 41 in slot 2
[16:20:10.552] [SEVERE ] placing card 16 in slot 3
[16:20:10.654] [SEVERE ] placing card 47 in slot 4
[16:20:10.763] [SEVERE ] placing card 13 in slot 5
[16:20:10.867] [SEVERE ] placing card 62 in slot 6
[16:20:10.967] [SEVERE ] placing card 49 in slot 7
[16:20:11.078] [SEVERE ] placing card 9 in slot 8
[16:20:11.183] [SEVERE ] placing card 40 in slot 9
[16:20:11.293] [SEVERE ] placing card 59 in slot 10
[16:20:11.397] [SEVERE ] placing card 23 in slot 11
[16:20:11.397] [SEVERE ] updating countdown to 20000
[16:20:11.509] [SEVERE ] updating countdown to 19938
[16:20:11.509] [SEVERE ] updating countdown to 19938
[16:20:11.620] [SEVERE ] updating countdown to 19827
[16:20:11.620] [SEVERE ] updating countdown to 19827
[16:20:11.730] [SEVERE ] updating countdown to 19717
[16:20:11.730] [SEVERE ] updating countdown to 19717
[16:20:11.841] [SEVERE ] updating countdown to 19606
[16:20:11.841] [SEVERE ] updating countdown to 19606
[16:20:11.951] [SEVERE ] updating countdown to 19496
[16:20:11.951] [SEVERE ] updating countdown to 19496
[16:20:12.058] [SEVERE ] updating countdown to 19389
[16:20:12.058] [SEVERE ] updating countdown to 19389
[16:20:12.168] [SEVERE ] updating countdown to 19279
[16:20:12.168] [SEVERE ] updating countdown to 19279
[16:20:12.279] [SEVERE ] updating countdown to 19168
[16:20:12.279] [SEVERE ] updating countdown to 19168
[16:20:12.390] [SEVERE ] updating countdown to 19057
[16:20:12.391] [SEVERE ] updating countdown to 19056
[16:20:12.500] [SEVERE ] updating countdown to 18947
[16:20:12.500] [SEVERE ] updating countdown to 18947
[16:20:12.611] [SEVERE ] updating countdown to 18836
[16:20:12.611] [SEVERE ] updating countdown to 18836
[16:20:12.721] [SEVERE ] updating countdown to 18726
[16:20:12.721] [SEVERE ] updating countdown to 18726
[16:20:12.831] [SEVERE ] updating countdown to 18616
[16:20:12.831] [SEVERE ] updating countdown to 18616
[16:20:12.942] [SEVERE ] updating countdown to 18505
[16:20:12.942] [SEVERE ] updating countdown to 18505
[16:20:13.052] [SEVERE ] updating countdown to 18395
[16:20:13.052] [SEVERE ] updating countdown to 18395
[16:20:13.162] [SEVERE ] updating countdown to 18285
[16:20:13.162] [SEVERE ] updating countdown to 18285
[16:20:13.273] [SEVERE ] updating countdown to 18174
[16:20:13.273] [SEVERE ] updating countdown to 18174
[16:20:13.384] [SEVERE ] updating countdown to 18063
[16:20:13.384] [SEVERE ] updating countdown to 18063
[16:20:13.494] [SEVERE ] updating countdown to 17953
[16:20:13.494] [SEVERE ] updating countdown to 17953
[16:20:13.604] [SEVERE ] updating countdown to 17843
[16:20:13.604] [SEVERE ] updating countdown to 17843
[16:20:13.713] [SEVERE ] updating countdown to 17734
[16:20:13.713] [SEVERE ] updating countdown to 17734
[16:20:13.822] [SEVERE ] updating countdown to 17625
[16:20:13.822] [SEVERE ] updating countdown to 17625
[16:20:13.932] [SEVERE ] updating countdown to 17515
[16:20:13.932] [SEVERE ] updating countdown to 17515
[16:20:14.042] [SEVERE ] updating countdown to 17405
[16:20:14.042] [SEVERE ] updating countdown to 17405
[16:20:14.152] [SEVERE ] updating countdown to 17295
[16:20:14.154] [SEVERE ] updating countdown to 17293
[16:20:14.262] [SEVERE ] updating countdown to 17185
[16:20:14.262] [SEVERE ] updating countdown to 17185
[16:20:14.371] [SEVERE ] updating countdown to 17076
[16:20:14.371] [SEVERE ] updating countdown to 17076
[16:20:14.482] [SEVERE ] updating countdown to 16965
[16:20:14.482] [SEVERE ] updating countdown to 16965
